Area,NVQ4+,NVQ3,Trade Apprenticeship,NVQ2,NVQ1,Other Qualifications,No Qualifications,Any neurotic disorder-Rates per 1000 population,All phobias-Rates per 1000 population,Depressive episode-Rates per 1000 population,Generalised anxiety disorder-Rates per 1000 population,Mixed anxiety depression-Rates per 1000 population,Obsessive compulsive disorder-Rates per 1000 population,Panic disorder-Rates per 1000 population
Barking and Dagenham,13300.0,8100.0,2500.0,5400.0,14100.0,11000.0,12200.0,177.5,21.3,34.4,51.1,82.6,15.2,8.2
Barnet,67900.0,16000.0,3200.0,6500.0,11700.0,35400.0,8500.0,167.4,20.0,32.5,49.0,77.4,14.1,7.9
Bexley,27000.0,19600.0,4500.0,9100.0,21800.0,12100.0,7000.0,155.6,18.5,30.4,45.9,71.7,13.0,7.3
Brent,46300.0,12900.0,4900.0,6900.0,12000.0,35600.0,9500.0,182.3,21.8,35.2,53.0,84.4,15.5,8.5
Bromley,59500.0,22000.0,6400.0,9700.0,17800.0,14400.0,10700.0,157.7,18.7,31.0,47.2,72.4,13.1,7.4
Camden,65100.0,8900.0,1200.0,3500.0,5300.0,13700.0,6800.0,206.3,24.7,39.3,58.5,97.0,17.8,9.5
Croydon,58600.0,30600.0,5700.0,12600.0,19200.0,17700.0,17400.0,172.4,20.7,33.7,50.9,79.5,14.6,8.0
Ealing,65600.0,17500.0,4400.0,7800.0,12700.0,36600.0,12300.0,174.4,20.8,34.0,51.7,80.0,14.7,8.2
Enfield,54900.0,15500.0,6200.0,5800.0,13000.0,22100.0,9700.0,170.7,20.4,33.4,50.4,78.7,14.4,7.9
Greenwich,44700.0,15100.0,5100.0,6400.0,12000.0,10900.0,9800.0,189.8,22.8,36.7,54.9,88.3,16.2,8.8
Hackney,45400.0,9200.0,1400.0,5800.0,5300.0,13300.0,14900.0,212.7,25.9,40.6,61.1,99.6,18.2,9.7
Hammersmith and Fulham,57800.0,8500.0,1500.0,1500.0,5700.0,15400.0,3800.0,205.7,24.7,39.2,59.6,95.9,17.4,9.6
Haringey,57500.0,10500.0,2600.0,5600.0,7700.0,22700.0,9200.0,200.9,24.2,38.8,58.7,93.0,17.1,9.3
Harrow,43100.0,14000.0,3600.0,5200.0,9900.0,27000.0,6000.0,153.9,18.2,30.0,45.4,70.8,12.9,7.3
Havering,22800.0,17800.0,6700.0,6100.0,17800.0,11600.0,17400.0,151.4,17.7,29.7,44.8,69.5,12.7,7.2
Hillingdon,37600.0,18100.0,8500.0,7500.0,13700.0,19200.0,13900.0,160.1,19.1,31.2,46.5,74.1,13.7,7.4
Hounslow,46500.0,17100.0,4100.0,7400.0,11400.0,24000.0,9100.0,168.9,20.1,33.0,49.8,77.6,14.4,8.0
Islington,54000.0,7200.0,1100.0,5600.0,6600.0,9100.0,8300.0,212.7,25.7,40.6,60.6,100.0,18.3,9.7
Kensington and Chelsea,41500.0,6100.0,1500.0,2800.0,2700.0,15900.0,6200.0,195.2,23.4,37.9,57.2,90.4,16.6,9.1
Kingston upon Thames,39700.0,11800.0,2200.0,5000.0,8100.0,6600.0,4800.0,164.3,19.5,32.1,48.1,75.6,14.1,7.7
Lewisham,49000.0,14300.0,3200.0,8900.0,15700.0,22000.0,13000.0,197.9,24.0,38.6,58.5,91.4,16.8,9.1
Merton,45200.0,10300.0,4500.0,5000.0,10400.0,17000.0,7100.0,171.4,20.6,33.3,50.8,78.9,14.4,8.1
Newham,35700.0,10100.0,2500.0,4900.0,11600.0,32700.0,11700.0,190.9,23.0,36.7,54.2,88.8,16.7,8.8
Redbridge,50300.0,17800.0,2500.0,4600.0,12700.0,17600.0,7100.0,161.6,19.2,31.6,47.7,74.3,13.6,7.6
Richmond upon Thames,57400.0,10200.0,3100.0,5000.0,6100.0,7300.0,4300.0,166.4,20.0,33.2,50.7,75.7,13.9,7.9
Southwark,62500.0,10800.0,2200.0,7200.0,9300.0,16200.0,20300.0,206.4,24.9,39.9,60.2,95.6,17.8,9.5
Sutton,33900.0,17000.0,2700.0,6800.0,13400.0,5000.0,9500.0,161.2,19.2,31.7,48.2,73.9,13.5,7.6
Tower Hamlets,37900.0,10400.0,1000.0,5300.0,8300.0,16100.0,13000.0,198.0,23.6,37.5,56.3,92.9,17.0,9.1
Waltham Forest,35300.0,13300.0,2200.0,6100.0,13500.0,19400.0,12600.0,183.8,22.3,35.6,53.8,84.7,15.7,8.5
Wandsworth,98800.0,15400.0,2700.0,4100.0,7900.0,18400.0,13100.0,200.1,24.3,37.6,57.1,94.4,16.8,9.3
